Date,Date,Open,High,Low,Close,Adj Close,Volume,weekly_bias,week_high_low_day
2007-05-07,2007-05-07,1513.25,1519.0,1496.0,1512.25,1512.25,5397363,-1.0,Wednesday
2007-05-14,2007-05-14,1512.0,1528.25,1502.75,1528.0,1528.0,6418258,1.0,Monday
2007-05-21,2007-05-21,1527.5,1535.75,1507.75,1517.25,1517.25,6124640,-1.0,Wednesday
2007-05-28,2007-05-28,1517.5,1543.0,1512.5,1539.5,1539.5,5194425,1.0,Wednesday
2007-06-04,2007-06-04,1539.25,1542.75,1480.5,1508.0,1508.0,6664645,-1.0,Monday
2007-06-11,2007-06-11,1507.0,1535.5,1489.25,1534.0899658203125,1534.0899658203125,3163634,1.0,Wednesday
2007-06-18,2007-06-18,1547.0,1554.25,1513.5,1520.5,1520.5,7353610,-1.0,Wednesday
2007-06-25,2007-06-25,1519.25,1530.25,1492.0,1515.5,1515.5,8764880,-1.0,Friday
2007-07-02,2007-07-02,1515.25,1544.0,1514.75,1542.5,1542.5,3203987,1.0,Monday
2007-07-09,2007-07-09,1542.25,1565.75,1515.25,1560.0,1560.0,6928396,1.0,Wednesday
2007-07-16,2007-07-16,1560.25,1566.25,1537.25,1545.0,1545.0,7991782,-1.0,Monday
2007-07-23,2007-07-23,1543.75,1556.25,1457.25,1458.0,1458.0,12328423,-1.0,Monday
2007-07-30,2007-07-30,1460.0,1495.75,1436.25,1443.0,1443.0,13096081,-1.0,Tuesday
2007-08-06,2007-08-06,1439.5,1510.5,1432.25,1451.0,1451.0,15028041,1.0,Monday
2007-08-13,2007-08-13,1454.5,1472.5,1374.5,1450.0,1450.0,15502335,-1.0,Monday
2007-08-20,2007-08-20,1448.75,1484.0,1434.5,1483.5,1483.5,7954213,1.0,Monday
2007-08-27,2007-08-27,1483.25,1484.75,1434.75,1476.75,1476.75,8473156,-1.0,Friday
2007-09-03,2007-09-03,1476.0,1499.25,1450.25,1459.75,1459.75,7526788,-1.0,Tuesday
2007-09-10,2007-09-10,1458.5,1491.0,1440.75,1485.0,1485.0,7175186,1.0,Monday
2007-09-17,2007-09-17,1484.5,1539.0,1472.25,1533.3800048828125,1533.3800048828125,3367394,1.0,Monday
2007-09-24,2007-09-24,1533.25,1545.5,1518.75,1538.0,1538.0,7536167,1.0,Tuesday
2007-10-01,2007-10-01,1540.5,1573.5,1535.25,1570.75,1570.75,6983912,1.0,Monday
2007-10-08,2007-10-08,1570.25,1586.75,1556.25,1574.5,1574.5,7000410,1.0,Thursday
2007-10-15,2007-10-15,1574.5,1576.0,1505.0,1505.75,1505.75,10284762,-1.0,Monday
2007-10-22,2007-10-22,1505.25,1543.25,1492.5,1542.5,1542.5,10341686,1.0,Monday
2007-10-29,2007-10-29,1542.0,1558.75,1496.75,1517.5,1517.5,9307080,-1.0,Wednesday
2007-11-05,2007-11-05,1515.75,1526.0,1451.75,1455.0,1455.0,12064389,-1.0,Tuesday
2007-11-12,2007-11-12,1453.75,1496.75,1437.25,1460.25,1460.25,10293983,1.0,Tuesday
2007-11-19,2007-11-19,1460.25,1465.75,1417.0,1442.0,1442.0,7763385,-1.0,Monday
2007-11-26,2007-11-26,1442.0,1492.25,1406.25,1483.75,1483.75,11132655,1.0,Tuesday
2007-12-03,2007-12-03,1484.0,1515.25,1462.5,1507.25,1507.25,7590433,1.0,Tuesday
2007-12-10,2007-12-10,1506.5,1527.0,1467.5,1468.0,1468.0,8552647,-1.0,Tuesday
2007-12-17,2007-12-17,1468.0,1478.5,1435.5,1474.949951171875,1474.949951171875,3086161,1.0,Tuesday
2007-12-24,2007-12-24,1497.0,1511.0,1481.0,1485.5,1485.5,2310614,-1.0,Wednesday
2007-12-31,2007-12-31,1485.25,1489.0,1417.5,1423.0,1423.0,5760587,-1.0,Monday
2008-01-07,2008-01-07,1422.5,1437.75,1385.0,1407.75,1407.75,13079623,-1.0,Tuesday
2008-01-14,2008-01-14,1408.5,1424.5,1315.75,1325.25,1325.25,13740665,-1.0,Monday
2008-01-21,2008-01-21,1327.75,1370.75,1255.5,1334.0,1334.0,13829604,1.0,Tuesday
2008-01-28,2008-01-28,1336.0,1398.0,1310.25,1397.0,1397.0,11688101,1.0,Monday
2008-02-04,2008-02-04,1396.75,1400.0,1312.75,1330.25,1330.25,10535299,-1.0,Monday
2008-02-11,2008-02-11,1329.5,1371.5,1320.25,1351.25,1351.25,9299006,1.0,Monday
2008-02-18,2008-02-18,1350.0,1369.75,1327.0,1355.5,1355.5,7988632,1.0,Friday
2008-02-25,2008-02-25,1354.5,1390.0,1325.25,1331.25,1331.25,10072715,-1.0,Wednesday
2008-03-03,2008-03-03,1329.5,1345.0,1282.25,1292.75,1292.75,12772321,-1.0,Wednesday
2008-03-10,2008-03-10,1292.0,1334.25,1272.25,1291.5,1291.5,11350963,-1.0,Wednesday
2008-03-17,2008-03-17,1291.0,1342.25,1253.0,1302.6400146484375,1302.6400146484375,4425950,1.0,Monday
2008-03-24,2008-03-24,1326.25,1361.5,1313.75,1319.0,1319.0,8313865,-1.0,Monday
2008-03-31,2008-03-31,1319.0,1388.0,1309.5,1372.0,1372.0,9308205,1.0,Monday
2008-04-07,2008-04-07,1372.5,1389.0,1331.75,1335.5,1335.5,8534886,-1.0,Monday
2008-04-14,2008-04-14,1335.25,1398.25,1325.0,1388.0,1388.0,9077907,1.0,Tuesday
2008-04-21,2008-04-21,1389.0,1400.75,1368.0,1397.0,1397.0,8561111,1.0,Thursday
2008-04-28,2008-04-28,1398.75,1427.0,1382.25,1415.75,1415.75,8349419,1.0,Thursday
2008-05-05,2008-05-05,1413.5,1424.0,1381.75,1389.0,1389.0,8412015,-1.0,Wednesday
2008-05-12,2008-05-12,1387.5,1429.5,1386.25,1425.75,1425.75,8375932,1.0,Monday
2008-05-19,2008-05-19,1425.25,1441.0,1372.75,1373.5,1373.5,9487211,-1.0,Monday
2008-05-26,2008-05-26,1374.25,1407.0,1370.5,1400.5,1400.5,7700503,1.0,Tuesday
2008-06-02,2008-06-02,1400.75,1411.0,1358.5,1359.5,1359.5,10710677,-1.0,Friday
2008-06-09,2008-06-09,1358.75,1371.5,1331.0,1357.5,1357.5,9112886,-1.0,Monday
2008-06-16,2008-06-16,1357.0,1370.25,1329.0,1339.280029296875,1339.280029296875,4192993,-1.0,Tuesday
2008-06-23,2008-06-23,1320.75,1337.75,1272.75,1280.0,1280.0,10620436,-1.0,Wednesday
2008-06-30,2008-06-30,1281.75,1294.75,1251.75,1265.0,1265.0,11494100,-1.0,Wednesday
2008-07-07,2008-07-07,1258.5,1278.75,1225.5,1239.75,1239.75,14017135,-1.0,Wednesday
2008-07-14,2008-07-14,1240.0,1263.0,1200.75,1260.5,1260.5,14033358,1.0,Tuesday
2008-07-21,2008-07-21,1259.25,1291.25,1247.25,1253.75,1253.75,9368144,-1.0,Wednesday
2008-07-28,2008-07-28,1255.25,1290.0,1231.5,1260.25,1260.25,10256076,1.0,Tuesday
2008-08-04,2008-08-04,1261.25,1298.0,1246.25,1292.25,1292.25,9426583,1.0,Monday
2008-08-11,2008-08-11,1291.5,1313.5,1274.5,1299.75,1299.75,9382944,1.0,Wednesday
2008-08-18,2008-08-18,1299.5,1306.0,1260.5,1292.25,1292.25,8162446,-1.0,Monday
2008-08-25,2008-08-25,1291.0,1300.0,1262.5,1282.5,1282.5,7404564,-1.0,Thursday
2008-09-01,2008-09-01,1282.0,1303.5,1216.5,1241.0,1241.0,10244276,-1.0,Tuesday
2008-09-08,2008-09-08,1263.5,1282.0,1211.25,1257.25,1257.25,12741266,-1.0,Monday
2008-09-15,2008-09-15,1230.25,1263.0,1133.0,1279.31005859375,1279.31005859375,8158287,1.0,Thursday
2008-09-22,2008-09-22,1244.0,1250.25,1180.25,1214.5,1214.5,13225907,-1.0,Monday
2008-09-29,2008-09-29,1220.0,1221.25,1102.5,1108.25,1108.25,15314066,-1.0,Monday
2008-10-06,2008-10-06,1103.75,1104.0,837.0,891.0,891.0,24155587,-1.0,Monday
2008-10-13,2008-10-13,909.5,1067.0,865.25,933.5,933.5,20179470,1.0,Thursday
2008-10-20,2008-10-20,937.5,992.75,840.25,866.0,866.0,15736424,-1.0,Monday
2008-10-27,2008-10-27,864.25,984.0,825.0,967.25,967.25,15622412,1.0,Monday
2008-11-03,2008-11-03,965.75,1008.5,897.0,936.25,936.25,12798068,-1.0,Wednesday
2008-11-10,2008-11-10,941.0,962.5,816.75,861.5,861.5,15632995,-1.0,Monday
2008-11-17,2008-11-17,862.0,881.75,739.0,792.0,792.0,18257299,-1.0,Monday
2008-11-24,2008-11-24,801.0,897.0,783.25,895.25,895.25,9596614,1.0,Monday
2008-12-01,2008-12-01,897.5,897.5,813.0,872.5,872.5,15260816,-1.0,Monday
2008-12-08,2008-12-08,872.25,919.25,829.0,886.0,886.0,10777800,1.0,Friday
2008-12-15,2008-12-15,883.5,919.25,857.25,889.739990234375,889.739990234375,4501688,1.0,Monday
2008-12-22,2008-12-22,884.25,891.5,852.75,869.0,869.0,2615216,-1.0,Monday
2008-12-29,2008-12-29,869.0,932.75,853.25,925.5,925.5,3407770,1.0,Monday
2009-01-05,2009-01-05,924.75,942.75,882.75,885.5,885.5,9307902,-1.0,Tuesday
2009-01-12,2009-01-12,885.0,885.5,812.75,848.5,848.5,12877648,-1.0,Monday
2009-01-19,2009-01-19,851.75,865.75,797.5,823.5,823.5,11358311,-1.0,Tuesday
2009-01-26,2009-01-26,823.5,876.0,810.75,822.5,822.5,10997762,-1.0,Wednesday
2009-02-02,2009-02-02,823.75,869.25,806.25,867.75,867.75,11312544,1.0,Monday
2009-02-09,2009-02-09,868.0,873.0,805.5,820.0,820.0,12490536,-1.0,Monday
2009-02-16,2009-02-16,814.0,818.75,752.5,769.5,769.5,11280702,-1.0,Tuesday
2009-02-23,2009-02-23,770.0,786.5,729.5,734.25,734.25,14215285,-1.0,Monday
2009-03-02,2009-03-02,731.25,733.75,665.75,687.75,687.75,15854020,-1.0,Monday
2009-03-09,2009-03-09,688.75,761.25,670.75,757.75,757.75,12278226,1.0,Monday
2009-03-16,2009-03-16,754.75,805.5,749.5,789.4000244140625,789.4000244140625,4854782,1.0,Tuesday
2009-03-23,2009-03-23,766.75,830.5,765.5,816.0,816.0,13411365,1.0,Monday
2009-03-30,2009-03-30,812.5,844.5,775.5,840.5,840.5,12721399,1.0,Monday
2009-04-06,2009-04-06,840.0,854.5,802.25,852.5,852.5,8267713,1.0,Wednesday
2009-04-13,2009-04-13,848.75,872.0,831.5,866.75,866.75,10623704,1.0,Wednesday
2009-04-20,2009-04-20,865.5,868.75,823.0,866.5,866.5,12739696,1.0,Tuesday
2009-04-27,2009-04-27,863.25,887.0,838.5,876.0,876.0,11618342,1.0,Tuesday
2009-05-04,2009-05-04,876.0,929.5,876.0,924.75,924.75,12204538,1.0,Monday
2009-05-11,2009-05-11,921.0,923.0,876.75,883.0,883.0,11459101,-1.0,Monday
2009-05-18,2009-05-18,882.25,923.5,875.25,885.0,885.0,10731838,1.0,Monday
2009-05-25,2009-05-25,885.0,927.75,876.75,918.0,918.0,9695137,1.0,Tuesday
2009-06-01,2009-06-01,920.25,957.5,916.5,940.5,940.5,10305324,1.0,Monday
2009-06-08,2009-06-08,939.5,956.5,925.5,944.75,944.75,8881417,1.0,Monday
2009-06-15,2009-06-15,942.75,942.75,903.5,926.1500244140625,926.1500244140625,3729367,-1.0,Monday
2009-06-22,2009-06-22,914.5,919.25,884.25,914.0,914.0,9316549,-1.0,Monday
2009-06-29,2009-06-29,913.0,928.25,889.0,893.25,893.25,8645033,-1.0,Wednesday
2009-07-06,2009-07-06,892.0,898.25,865.25,874.25,874.25,9770725,-1.0,Tuesday
2009-07-13,2009-07-13,874.75,940.75,865.5,937.0,937.0,9969276,1.0,Monday
2009-07-20,2009-07-20,937.0,979.0,933.75,977.75,977.75,9498481,1.0,Monday
2009-07-27,2009-07-27,977.0,994.0,964.0,984.5,984.5,9608131,1.0,Wednesday
2009-08-03,2009-08-03,982.75,1016.0,982.0,1006.5,1006.5,9202062,1.0,Monday
2009-08-10,2009-08-10,1005.75,1015.75,985.75,1005.75,1005.75,8507178,1.0,Wednesday
2009-08-17,2009-08-17,1004.25,1027.0,975.5,1025.25,1025.25,9654959,1.0,Monday
2009-08-24,2009-08-24,1025.0,1038.75,1014.75,1027.5,1027.5,9318649,1.0,Thursday
2009-08-31,2009-08-31,1026.5,1031.0,991.0,1014.0,1014.0,9798420,-1.0,Monday
2009-09-07,2009-09-07,1013.5,1048.25,1012.25,1041.5,1041.5,5892147,1.0,Tuesday
2009-09-14,2009-09-14,1040.5,1076.5,1032.75,1071.5699462890625,1071.5699462890625,3900035,1.0,Monday
